text,sentiment
kenal tak rugi kalau duduk malaysia tak kenal mereka ini lejen hanya yang kenal sahaja yang mengenali,negative
betul ke farah wen ni owner gg malaysia,negative
hahh tahu pun itu pun tak habis habis panggil malaysia malaydesh sedar diri loo merantau jangan jadi katak bawah tempurung,negative
cuba bayangkan malaysia guna concept kampung buat stadium bola,negative
antara akhbar malaysia je yg reti apa patut jadi berita utama teka yang mana berat,negative
rukun negara ke kesopanan dan kesusilaan,positive
khairul aming dulu grad mechanical engineer cgpa terus kerja petronas dia grad umur vanderbilt uni lepas spm terus degree program jpa ada agreement khas jimat setahun tak payah foundation persediaan,positive
job description converting pdf to word by typing,positive
malaysia pon ada ya view macam ni tak payah pergi japan hahahaha just sini cuaca panas ja la,negative
saya tengah risau ni sedaghe,negative
macam mana korang apply kerja company luar negara macam germany tapi based in malaysia,negative
hai semua nak minta pendapat la kenapa kita rakyat malaysia sara bulanan tak layak warga asing layak bantuan di malaysia khas utk warga asing ke apa just tanya ja mungkin cable warga asing kuat dkt lhdn kan,negative
beza keadaan tenda kiri jemaah negara jiran dgn kanan jemaah malaysia setelah keluar bergerak ke muzdalifah,negative
kalau kau kerja dengan international company lepas tu boss kau cakap macam ni dalam group chat apa perasaan kau,negative
member umur dah an tapi masih buat lawak level sekolah rendah is this funny to you nak normalize lawak camni ke,neutral
pelik betul aku drama kat malaysia ni x study dulu ke nak buat dialog ibarat satu perlis tu keje dgn dia melayu kalau buat drama tak nak kalah,negative
kesayangan malaysia dh one step closer sampai dah gaiss,negative
ramai yang tak tahu bangunan paling nipis di dunia terletak di temerloh,negative
aku pelik betul la dengan f n kilang kat area rumah aku je tapi kenikmatan ni kau bagi orang sabah sarawak je orang semenanjung tak layak rasa kenikmatan ni ke apa aku sampai terpaksa beli online kowt,negative
yeay terima kasih orang baik,positive
aku where u from sir cust malaysia aku ok collect semua ic then seorg shja yg beli tiket cust sory im not understand aku u malaysia kn cust blurr habiss muka sorry i cannot speak malay,negative
rasa nervous first day intern kat kerja swastq nii,negative
no kami taknak jadi cm singapore,negative
ape product buatan malaysia tpi ade high demand for international,positive
patutlah kat indonesia berebut orang nak jadi youtuber sebabnya income mereka dibayar dalam usd tengok ni income sebulan youtuber malaysia ini youtuber yg biasa bukannya yg ada followers berjuta dasyat yer,negative
macam biasa dear our hindu friend kalau you nampak pakai tudung joget depan batu caves dijamin konoha indonesia why because their itinerary in malaysia mesti visit batu caves i dont know why lah,neutral
kau jangan nak samakan india luar dengan india malaysian ya,negative
batik indonesia terpelihara dalam kerangka tradisi,positive
universiti swasta paling berkualiti di malaysia,positive
malaysia is the main character during this crisis because of bro,neutral
malaysia beberapa hari ini,negative
keluarga kundur bersatu saya akan agihkan sebagai sedekah supaya lebih ramai rakyat malaysia tahu betapa sedapnya air kundur,negative
sayang nak buang kotak kasut so kitorg beli kotak tape dekat airport so semua kasut kite sumbat je dalam box agak agak kami kena tax tak dengan kastam malaysia,negative
bot nelayan luar tidak memberi kerjasama kepada pasukan maritim malaysia,negative
he requested carlsberg,neutral
wahh lain macam bunga api macam mana diorang buat ni weyh,negative
aku sampai sekarang tertanya tanya budak nakal mna yang start prank sejadah berdiri ni kecoh malaysia sebab kes ni empunya badan tak nak mengaku lagi ke nak simpan rahsia sampai ke akhir hayat,positive
lari pada polis mujur hidup start motor kalu dok hidup boleh sakit la mung dik larian meter desup,negative
konon nak buat dalam flight otw balik malaysia bosan xtaw nak buat ape pnye psl ingatkan boleh berjaya memang ssh nak diam sekejap pn x boleh hahaha,negative
tak faham kenapa masyarakat kita mengharamkan forex sedangkan dari dulu sebelum kita ke luar negara kita akan guna forex kalau betul haram tutuplah semua money changer di malaysia ni sebab situlah tempat forex foreign exchange hakikatnya yang menjadi isu bukan forex tapi trading forex,negative
bila agaknya orang malaysia mahu berubah,neutral
malaysian to malaysian,neutral
rupanya konoha gelakkan orang malaysia panggil aeroplane tu kapal terbang diorang cakap gimana kapal bisa terbang diorang anggap sebutan malaysia kelakar diorang je elok sebut pesawat,negative
siapa artis malaysia paling sombong yang korang pernah jumpa i start ifa raziah,positive
puak israhell ni nk masuk malaysia dgn guna passport kedua senangnya,negative
kenapa kelab malam boleh jadi nama trec tun razak education centre hina betul nama tokoh agung malaysia kena slap jadi nama kelab malam also what are they teaching about tunjuk langit,neutral
jujur tanya ni pada orang sabah dan sarawak ni khususnya bumiputera teruk sangat ker malaya pada sabah dan sarawak ni yer sampi nak putuskan hubungan ni klu ikutkan perlis tu negeri termiskin lagi tapi diorg tak pernah lagi dengar cakap nak keluar dari malaysia nak balik ke siam tu yang jadi batu api tu patut korang waspada,negative
gimana caranya pindah ke malay please lah dah muak sekali di indo,negative
korang nampak kan kenapa last sumud flotila tu diorang bawa artis dan influencer sebab bila artis dan influencer yang kena maka akan bergemalah satu malaysia sekarang ni kapal dah intercept pun orang buat tak kisah pasal sumud,negative
aku pernah ditegur oleh driver grab masa nak ke soekarnohatta international airport,negative
betul ke ramai dah berpindah ke sini sekarang,neutral
manisnya malaysia jumaat lepas aku ternampak ni jalan ni menghala ke masjid seorang lelaki india bawa motor hantar lelaki melayu ke masjid nak solat jumaat,negative
some says invading privacy hello since when malaysia accepting lgbt respect this country this is malaysia we hve rules our main religion is islam tak kisah lah kau dari mana immoral activities mmg la kene tngkap nak buat sila get out from malaysia use ur brain bfre u talk,negative
to all non muslims in malaysia please stop talking without knowing the facts listen properly,negative
malaysia ni makin lama makin ke belakang kenapa eh,negative
bapa suspek buat report polis kononnya nak jaga keselamatan anak,negative
btul tu respect jaga seni malaysia kita ada identiti dan muzik kita sendiri aku nak tanya ni suka matcha atau suka kopi,positive
sekali kena ulti senyap terus member hahaha ni mesti jenis tengok content yang suka gelakkan perkataan dalam bahasa melayu malaysia padahal kita tak sebut pun macam mana yang digembar gembur kan dalam video diorang tu,negative
i m from malaysia yes we only have this chair this chair is plastic i love my hawra n rakyat,positive
semiskin miskin malaysia kami x makan mi letak ais cetakk,negative
dulu zaman belajar saya ada classmate student degree dari indonesia dia ckp pemerhatian dia sekaya orang malaysia tak boleh lawan kaya orang indonesia namun semiskin orang malaysia tak lawan miskin orang indonesia sampai sekarang saya ingat kata tu jadi bersyukurlah kita,negative
malaysia menghantar tiga ekor gajah ke jepun sebagai usaha memantapkan program konservasi dan pembiakan proses ini termasuk persiapan rapi dan pemantauan supaya gajah dapat menyesuaikan diri dengan baik,positive
kalau malaysia lockdown lagi apa escape plan korang,negative
netflix malaysia hantu indo polis tamil corrupt cerita buangan pawagam,negative
tak kuat baca komen hahahaah,negative
kiri di malaysia kanan di philippines,negative
jap nak tanya geng,neutral
betullah tu tak suka tak payah pergi kan tiong oleh sebab itu selepas ini kami rakyat malaysia beragama islam nak buat sambutan maulidur rasul di bukit bintang selama hari malam jemputan seluruh dunia bagi meraikan hari kebesaran nabi muhammad saw nanti kalau tak suka jangan pergi ya tiong,negative
seorang ibu marah anaknya membuli anak autisme kita perlukan ibu begini yang tak bekap anaknya bila melakukan kesalahan,negative
dengar cerita sampai sekarang tak tahu mana monyet tu pergi,neutral
aku perasankan dekat luar negara tak kisah la dekat fon ipad takpun pc mesti diorang pakai bahasa ibunda diorang tapi kat malaysia kenapa kena pakai english ek kenapa tak pakai bm korang malu ke,negative
nak tanya knp kat malaysia jdi bahan lawak kalau pakai topi mcm ni pdahal comel je,negative
he claimed he acted out of concern for womens safety,negative
dah menyorok belakang pun still boleh detect eh camera tu,neutral
aku tau malaysia ni main character dlm dunia tapi aku tak boleh buktikan,negative
if you think rm is enough to live comfortably in malaysia youre either still living with your parents or completely out of touch with reality,neutral
sekarang ramai konoha masuk malaysia jadi operator kilang okaylah kan nak cari rezeki tapi satu nak pesan dek biar muka hodoh jangan adab ikut hodoh sekali ada satu minah konoha ni dia nak buat megi cup tu padahal kat kantin bawah tu ada je tempat amek air panas yg disedia kan tetap dia nak naik amik kat coway staff punya kat tingkat atas,negative
yes lingling show them our powerful malaysia passport,positive
satu satunya family mart di malaysia yang warna signboard dia hitam putih,positive
malaysia ni ramai lagi hok dok leh subsidi natang,negative
guys i wonder tersangat wonder,positive
mungkin malaysia memang main character dalam dunia ni,neutral
bye bye malaysia,positive
myvi biru tidur dalam kelas ke,positive
pempengaruh zhiddin aziz berkongsi satu video seorang pendatang asing didakwa meminta sehingga rm untuk menjaga tempat parkir di bukit bintang,negative
dma islam budak teater,positive
kalau boleh delete satu makanan dekat malaysia ni aku akan delete ayam gepuk,negative
kalau malaysia ada spm indonesia ada exam apa erk bertanya dalam nada ingin tahu,negative
me in london speaking malay on the phone my friends face looks confused was that japanese no malay youre from where malaysia guess what happen next,negative
im in malaysia we saw the video it was murder,negative
i always assumed that bapa malaysia was tunku abdul rahman never knew it was ramasamy,negative
saja datang nak tengok suasana yang aku nampak pendatang asing pelancong asing warga malaysia terbaik kementerian pelancongan seni dan budaya meriah tahun depan kalau nak buat lagi mungkin boleh collab dengan jabatan imigresen comfirm makin ramai support,negative
rakyat malaysia ada juta duit zakat seleweng rm juta,negative
they calling us overdressed how about y all dressed up like this balik haji macam dress up fashion show gak kalau cantik ok la ini,negative
sedih tengok dak dia nk rumput hijau weii bukan rumput kering,negative
one last chance,negative
tertengok one sharing from indonesian yg stay kat malaysia kenapa org malaysia ni sedikit cerdik dari depa,negative
tak tahu langsung uci world cup buat kat malaysia apa menteri belia sukan buat ini tak ada marketing apa ke,negative
e mas ni buatan indonesia sebab kalau buatan malaysia nama dia e bang,negative
kerja apa kt malaysia ni dia punye gaji rmribu sebulan,negative
jika ww berlaku negara manakah kebarangkali yang akan serang malaysia dan kenapa nak serang malaysia,negative
lelaki tak bercerita tau menung dalam kereta,negative
tahniah malaysia dah ada shopping mall paling racist,negative
i pernah tanya one of tan sri dekat malaysia sebenarnya kerja mana lagi bagus mnc corporate ke sme,negative
me bukak sampul raya anak also me otak dia bagi rm in this economy how,positive
tahu tak kenapa korean kalah cyberbully ngn orang malaysia sbb kita ade ade cyberjaya,negative
guyss i just found out that internship in china paid intern rmb rm while in malaysia only around rm in big multinationals cooperation,negative
duduk sebelah orang indonesia kat masjid di jepun,negative
bila tengok balik opening sea games kat malaysia ni gempak juga sebenarnya pernah tengok laut dalam stadium,negative
bukan kat luar negara tapi kat malaysia dia dah bawa dah perangai dia datang malaysia,negative
dua business ni pernah mencetus fenomena dalam malaysia lalu tetiba hilang dan banyak tutup apa rasanya punca utama,negative
fuhh lepas tgk video ni terus rasa bersyukur jadi rakyat malaysia teruk betul yer kehidupan kat philipine kerajaan spain takde bantu ke sikit,negative
mean while in malaysia may god protect us all,neutral
aku cadangkan kerja kerja di malaysia dibayar mengikut skills contoh,positive
momen indah apabila zulfaqar aslam diraikan selepas kejayaannya lebih menyentuh hati bila terdengar suara ibunya dengan bangga menyebut anak saya tu tahniah zulfaqar semoga terus berjaya di dunia dan akhirat,positive
bila captain cakap untuk warganegara malaysia selamat pulang ke tanahair auto sebak,negative
bangga betul ek muka kau bang,negative
tempat ikon negara jadi mcm nimemalukan,positive
ngobrol sama temen malaysia,negative
i went to the dentist because my toothache was unbearable since yesterday but why is the bill so expensive,negative
brader ni mesti penat kan sampai tertidur,negative
mengapa orang melayu di malaysia memaksa orang cina dan india berbahasa melayu,negative
indonesians yg ada kat malaysia ni xpayah la dok jual nasi lemak pagi tak sedap,negative
biar la indonesia buat tol kat selat melaka belah mereka,negative
satu malaysia tengok abang,negative
thanks to abang yang reply comment dekat siapa i dont remember that said orang malaysia susah saving padahal rm sehari setahun dah seribu i made up my mind to never touch duit ni so here i am now,negative
cuba teka kt mana bukan bali tapi malaysia je,negative
saya tahu ada org malaysia cina yg takleh berbahasa malaysia,negative
malaysia perlukan ni sekarang,negative
lagi dipanggil malaydesh malingsia lagi naik nilai mata wang kita teruskan indonesia terima kasih atas usaha kalian membawa nama malaysia ke serata buana,negative
kenapa aku rasa macam kerajaan malaysia semakin tenat ke aku sorang aje yang perasan,positive
this is how we malaysians lived currently still far from development,positive
you know what this means,positive
nampak komen konoha tulis ternyata brunei pake bahasa indonesia,negative
kenapa ek kalau artis indonesia datang malaysia host malaysia akan cakap bahasa indonesian but bila artist malaysia pergi indonesia tak ada pulak host dia nak cakap bahasa malaysia,negative
orang malaysia dengan orang indonesian makan satay,neutral
masa berlalu sangat pantas detik kenangan apabila perdana menteri malaysia datuk seri najib razak ketika itu dapat tahu berita pemergian al marhum tuan guru hj nik abdul aziz bin nik mat,negative
ketum is classified as a class a controlled drug in singapore,neutral
kenapa hutan amazon sering dianggap tertua sedangkan hutan dinosaur sebenarnya ada di malaysia,neutral
rakyat malaysia punya knowledge tentang dunia ni agak menyedihkan semua benda konflik dunia nak tengok dari kaca mata agama instead of politics,negative
this is how my son gonna introduce himself in the future because he is a mix of sabahan and sarawakian i hope gen alpha and beta is not as ignorant as this current generation,positive
inilah ayah mekyun brigedier jeneral dato wee han siew mantan panglima briged artileri roket malaysia seorang ayah pemimpin wira,positive
pergi bazaar jangan bawak stroller boleh tak dah la sesak pastu bila orang terlanggar buat muka palat,negative
orang malaysia ni patut pi belajar apa orang vietnam buat sampai jadi top kes diabetes paling rendah di dunia,negative
comel isteri abg hari ini jam selepas tu suaminya meninggal untung akak ni sempat peluk dan bermesra kali terakhir semoga roh arwah ditempatkan dikalangan orang yang beriman aminn,negative
tekejut tengok vid tiktok,negative
pagi ni dapat berita ada orang malaysia meninggal dunia di kunming yunnan orang malaysia yang nak pergi sana tolong avoid route dari kunming terus ke lijiang shangri la why,negative
hello tourism malaysia team u memang tak buat kerja ke sampai bila nak kena betulkan if dari tourism sendiri yang lalok burung toucan bukan burung enggang spesis amazon tak ada di malaysia paham,negative
semua bini bini semalaysia macam ni ke,positive
can we normalise mempopularkan golongan researcher dekat malaysia ni,negative
bersyukur yes first lahir as islam second lahir kat malaysia,negative
kenapa jarang nampak orang india dan cina dalam thread ya mereka lebih aktif guna aplikasi sosial apa sebenarnya atau memang mereka ada je dalam thread cuma saya yang tak perasan,negative
punyalah beradab orang malaysia ni bagi barang tangan kiri pun mintak maap,negative
singapore is singapore laa this is malaysia the azan is part of our culture here if that bothers you then this may not be the right place for you,negative
tadi ada perasan satu post orang indo rasa hairan kenapa restoran uncle roger tutup siap perli kita ni tak mampu beli nasi goreng tu,negative
syarikat glc popular pilihan fresh graduate,positive
warga malaysia tolong jp ni nom plate malaysia ke sebab baru tengok bahahah,negative
lokasi rotiboy pasar seni,positive
kepada hijab terbuka bukan free hair yang suka travel oversea apa rupa hantu hantu luar malaysia ek nak tahu ada jugak ka geng gula gula cik lang cik pon semua tu,negative
guys actually bahasa malaysia kadang efisien jugak ye,neutral
prasarana malaysia berhad smart selangor mpaj rapid higer klqg,positive
nikmat terbesar dalam hidup aku lahir islam lahir dkt malaysia,positive
apa yang bumi malaysia perlukan saat ini,positive
just saw a thread that said najib dulu lagi sweet gadaikan malaysia utk kak mah i kenot with threads people hahahahaha,negative
korang yang genz lepas graduate teringin nak kerja under company mana jika ada tawaran,negative
so far elaun internship paling masyuk kt malaysia ni is bnm kot ke ada lagi eh kot korang boleh share,positive
wahai staf watson seluruh malaysia boleh tak kalau tak menekan suruh amik beg hitam lembik ni atleast ade barang dalam tangan barula boleh bg beg ni ini belum tentu nak beli brg klu tgn masih kosong bila dah bg xpasal pulak nk kena gi cari tempat letak beg ni pulak bila xde brg yg dicari bila tak nak beg ni buat muka pulak tu rase cam semak pulak tgn kosong tibe kena jinjing beg ni huh,negative
malaysian armed forces canine snuggles its handler during the national day parade in putrajaya malaysia,negative
internally all muslim in malaysia,negative
ehh sumpahhlaa bts cancel datang malaysia aku baru keluar dari gua ke apaa nii lol,negative
born grow up in sabah and here i am now in malaysia enjoying,positive
nak beza cina malaysia dengan cina mainland senang jer tengok time dia marah kalau dia mencarut bahasa meaning dia cina kita kalau dia sekadar cingcong cingcong xexe meaning cina sana,negative
habislah satu dunia global dah discover malaysia nanti confirm tourism sector and f b business meletus,positive
went to jeju island once there was one uncle shouting cheerfully at me woi malaysia kau melayu mana aku cina cheras,negative
aku kena jujur dengan kau malam ni,positive
tahukah anda masa di semenanjung malaysia adalah salah,neutral
kepada shopping mall yang toiletnya takde bidet,negative
kiri bulan lalu kanan hari ini,negative
tadi ternampak aiman hakim reza ngan wife dia zahirah n anak dorg makan kat citta mall aku terjeling si aiman sbb dia pandang aku randomly aku jeling sbb rasa cm kenal tpi tknk nmpak obvious tpi terjeling bitchyly,negative
dalam semua tagline ni aku suka tagline malaysia despite najib being najib himself aku takleh tipu diri aku dari mengatakan its a catchy phrase untuk satukan rakyat malaysia,negative
my only flex as a foreigner in malaysia i know negaraku inside out it was engraved into me during morning assembly,positive
meme malaysia always keep my stress disappear everytime i ll have bad day,positive
tak sangka jadi jugak kat malaysia,negative
guys cina singapore memang pandang rendah dekat orang melayu malaysia and melayu singapore ke,negative
malaysia punya passport punya lah kuat while aku nak lalu bulgaria kene tahan kt border dia ckp tak pernah nampak passport mcm ni masuk bulgaria acik dia,negative
kecoh pukul pagi tapi rakyat malaysia tetap tenang handle situasi,neutral
thank you pmx kerana telah menggunakan platform ic untuk pemberian subsidi petrol diesel ia bukan sahaja dapat menurunkan kos subsidi tapi menyedarkan diri manusia yang ic merah serta golongan yang tinggal di sempadan sg thailand,positive
kenapa ada segelintir orang cina dan india tak mau berbahasa malaysia di malaysia apa sebab curious je,negative
isu yang membuatkan malaysia berbalah apa pendapat kalian,negative
boring betul gaduh dgn south korea nie malaysia indonesia gaduh pun tak seboring nie,negative
pernah tak korang tengah lepak mamak tiba tiba member sebelah petik isu ni weyh malaysia ni kan negara pengeluar minyak bersepah pelantar minyak kat terengganu sarawak tu tapi kenapa kita still kena import minyak luar kenapa harga minyak kita naik juga ikut harga dunia pakai jelah minyak sendiri settle,negative
apa benda negara jiran kita ni,negative
bersepah ya muka deni dalam drama d malaysia,positive
bila baca posting tya menantu tok ti tanye kenapa live dia sendu sales pun drop,negative
for chinese in malaysia how do you view your future in malaysia in term of politic and economy not racial state the industry you are working in and your observation,positive
kenapa korean punya roast dekat malaysia macam boring gila ke sebab diorang tak cukup experience jadi cyberbully haha,negative
menteri yang dulu bawak masuk rohingya kat malaysia ni memang sial sebab apa,negative
lunch at parlimen malaysia guess the price of my lunch,neutral
hentikan pembiakan warga konoha di malaysia,positive
nasihat saya kepada adik di luar sana kalau boleh jgn ambik sektor teknikal di malaysia sangat sangat under appreciated,neutral
if ww happens malaysia lah yang akan paling terjejas because men here also need their princess treatment and perlukan provider nyah,negative
malam tadi saya telah diugut seorang anggota polis bernama wan syah untuk menumbuk muka saya hanya kerana saya menjalankan tugas sebagai peguam kepada perhimpunan aman gerakan anti rumah anutan haram saya masih tidak faham kenapa perlunya ada intimidasi berbentuk ugutan sebegitu dalam era kerajaan malaysia madani laporan polis dah dibuat terhadap wan syah dan kita tunggu apa tindakan susulannya,negative
malaysia trully asia nanti diganyang meronta playing victim,negative
brand rempit malaysia svg oakley stoned co hype high cultured drum new era,positive
i just nak tanya kaum india especially yang bijak pandai dan kaya,neutral
dlm toilet mrt mrt pasar seni hellnahh,positive
to pizza hut kepala batas penang saya tak pasti ni arahan dari manager pizza hut or staff tu yang rela sendiri bila di tanya dgn staff tu why jual pizza tepi jalan x ada payung panas terik dia senyum je diam je merah padam muka adik tu,negative
siap kata demi allah siap perang dgn malaysia tu,negative
para artist malaysia sekalian drop ur art here jom,negative
indian malaysia ni,negative
kau ambil degree sebab orang cakap ada demand,neutral
inilah malaysia madani,positive
orang malaysia memang jenis susah nak percaya orang aku perati je,neutral
why does the salary in malaysia are damn low,negative
kenapa org malaysia majority tak suka sultan johor aku rasa kecewa skit sbb tu je la sultan negeri aku daulat tuanku,negative
let me give you the world s largest flower malaysia cameron highlands,positive
platform cari kerja paling popular di malaysia,positive
wahai stesen radio malaysia boleh tak kalian hentikan main lagu kami para pendengar sangat kecewa sebab kami sebenarnya tak menanti lagu lagu yang kalian putar kami hanya mahu dengar celoteh penyampai gelak tawa yang tak berakar umbi dan bual bual kosong yang entah dari mana datangnya,negative
malaysian hospitality ialah cara kita membuat orang rasa diterima,positive
malaysia bila ada kes be like,neutral
congratulations to the minister of tourism malaysia and mb sanusi for the huge crowd we must unite to attract more tourists to our country malaysia is heading towards greater success,positive
rain rave bukit bintang bukan budaya malaysia saya gunakan platform yang saya ada untuk menempelak tourism malaysia atas penganjuran event ini,negative
malam ni pesta air katanya bertujuan merangsang ekonomi bandar dan menyokong peniaga kecil sempena tahun melawat malaysia,positive
malaysian girlies leave your best financial advice to girls women in malaysia so that we can all learn something together ill go first,negative
nampak lah abang terlalu happy ye,neutral
ramai rakyat malaysia terutamanya orang muda berminat nak kerja freelance,positive
sepatah dua kata untuk event rain rave festival dekat malaysia,negative
malaysia copied a model that doesnt even work in its own country,negative
tahu kenapa ramai warga us sibuk datang malaysia buat review makanan dan cari support dari orang malaysia,negative
sy buat service untuk hantar org balik kg beraya,negative
jangan tersilap lagi pru nanti nak sokong yang mana,neutral
malaysia to malaysia kini di tangga ke dunia,positive
what a beautiful day in kuala lumpur i am so thankful that i found this city and it has become my home,positive
stop normalize kan lgbtq di malaysia,negative
kami berdua seringkali digandingkan dalam mana drama telefilem suatu masa dulu beliau antara salah seorang rakan seni kak ros yang paling senang nak bekerjasama dalam menjayakan sesuatu naskhah salam takziah kak ros ucapkan buat seluruh ahli keluarga allahyarham abdul jalil bin abdul hamid,positive
malaysia bila nak ada gojek cheaper and faster alternative compare to car,neutral
sosial tiba tiba nama umie aida kena petik,positive
this is where we make marine biologists in malaysia,positive
sudah tiba masanya dap ini diharamkan di malaysia kuang ajar dan berani nak langgar titah sultan selangor,negative
mandarin is not an international language aku kerja dekat johor bahru malaysia tapi rasa macam kerja dekat china diaorang ni jenis taknak keluar phone guna google translate bila kita minta cakap english dia cakap no no english sambil marah marah kita pulak nak kena belajar bahasa diaorang,negative
first time traveling abroad alone different country different feelings same dream thank you malaysia for being my first and such a great country,positive
negeri introvert kat malaysia ni ada dua je perlis dan perak hahahaha,negative
malaysias had quite an eventful month malaysian ringgit strengthens being gay is caused by work stress spiderman injures himself after falling off bukit dinding,negative
ada sape nak tahu takk the dark side of a famous clothing brand in malaysia,positive
kau nak tengok indonesia punya perangai keji kau tengok dekat tiktok punya la gampang eh diorang ini masuk malaysia menipu imigresen kata pergi bercuti rupanya kerja dekat sini tahun kadang lebih tahun duduk sini malaysia ini pulak bila musim pemutihan suruh diorang bayar denda je itu pun berapa sen je la itu belum dia cerita kami orang indonesia rapat dengan pegawai bayar seratus je mesti lepas punya betul diorang pandang hina je la malaysia ini ini nanti adalah konoha bodoh kata rasis,negative
allahumma inni asaluka kerajaan malaysia perketatkan syarat jadi warganegara malaysia pr malaysia amin amin mana mana yang merentan tu gi jauh cari negara lain,negative
baru faham kenapa orang malaysia ni ramai jadi kpopers berbanding minat artis local,negative
hello aku india india malaysia lah bukan india dari india tanya lah question apa ii berkaitan indian malaysian aku jawab asalkan jgn type dlm bahasa tamil aku mmg x tau sbb aku sk sekolah kebangsaan,negative
warga asing nie sebenarnya banyak telan hak warga negara malaysia,negative
privilege level in malaysia,positive
ohh rupanya alumni finalist miss world malaysia macam mna dia confident join eh dahlah bf dia pijak al quran keji nya perbuatan pasangan ni we not claim u as sarawakian even u from sarawak,negative
ishowspeed coming to malaysia dia sendiri cakap dalam stream,negative
if malaysia gets attacked which state would be first,negative
pendedahan file epstein tu tak mengejutkan kerana ada banyak kegiatan serupa itu yg berlaku di seluruh dunia terutama dalam lodge satanic saya tertanya juga apa aktiviti yg berlaku dalam lodge freemason di malaysia macam yg kat bukit jalil ni takkan meeting makan bihun je kot,negative
guys i will try my luck today for the concert ticket i just need ticket,neutral
hailey bieber is every girls ultimate girl crush love how secure she is,positive
happynya baca indo taknak datang malaysia that what we want we sick having so much indonesian in malaysia already,positive
info rasmi sncc seramai rakyat malaysia yg telah diculik oleh iof lokasi mereka sehingga sekarang masih belum diketahui kita doakan sama sama utk keselamatan mereka,negative
malaysia nampak biasa tapi sebenarnya negara ni rare gila,negative
kepada kerajaan malaysia,positive
itulah bila ydpa suruh kuasai bahasa malaysia korang jugak sinis anti dan perli,negative
went to your solaris branch your employee asked for my personal number i was asked where do i live he wanted to meet me outside,negative
semakin menggila rakyat malaysia kasihan mangsa mangsa yg terlibat,negative
semua benda nak mandarin speaker aku duduk malaysia ke duduk china sekarang ni,negative
nampak macam ramai drs from oversea returning to malaysia especially those from uk ireland is there a reason behind this,negative
halu pulis ini olang banyak lansi polis diraja malaysia royal malaysia police,negative
korang nak tak aku spill the tea artis mana awas yer artis malaysia you are nothing compare to taytay,negative
korang tau tak korang boleh dapat certificate free disponsor oleh kerajaan malaysia,negative
patutnya hijabis kat malaysia kena buh nama tutorial tudung letak nama malaysian style biar tak kena claim dengan konoha sibuk je pakai tudung style malaysian,negative
guys boleh recommend tak courses yang high demand kat malaysia sebab ragu ii lagi nak isi upu nii,neutral
beli kebab dekat kepulauan riau kepri walaupun di indonesia tapi dekat daerah tanjung pinang ni loghat diorang sama macam kita di malaysia,neutral
kenapa petugas pembersihan masjidl haram ni macam baik dengan orang malaysia,negative
korang issue gajah kita di bawa ke jepun bukan main tau tennoji zoo sangat terkenal dengan pengabaian haiwan di zoo mereka aku pelik kerajaan kita agree untuk hantar,negative
kawan i ada cakap orang korea ni racist bila dia jumpa orang tak cantik kulit gelap sebelum i pergi korea haritu dia remind i cakap kat sana nnti mmg akan jumpa yg racist tp i rasa you kulit putih mesti nnti kat imi lepas je,negative
news update nres beri kebenaran bawak dak balik malaysia skg terpulang pada zoo taiping night safari utk bg kerjasama,negative
negeri apa di malaysia yang paling kelakar,positive
aku dpt kerja under mystep dkt jabatan ukur dan pemetaan malaysia dgn gaji rm boleh hidup ke aku yg dah beristeri dgn gaji itu patut terima atau tak,negative
gaduh malaysia indonesia ni macam gaduh adik beradik je,negative
where are you from malaysia ohh so you speak malay yea then why you speaking english so well hmm because i learn that too so you speak malay and english no mandarin and cantonese too excuse me how because i am chinese you are chinese oh wellguess what happen next,negative
adik adik yang baru nak kerja or masuk kerja meh abang ridz nak share sikit please accept the offer whatever sector lah as per below,neutral
nampak set crew malaysia airlines jalan nak lalu immigration aku pun senyum la nak bagi salam belum sempat nak buka mulut kapten dia cakap kat cabin crew sambil tunjuk kat aku happy semacam mamat pinoi ni nak pergi kerja,negative
sebenarnya nak start active balik in bidang lakonan and also tak ada manager for acting industry contact pun banyak hilang so i just want to try my luck by post it here harap dipermudahkan,negative
im just curious those yang attended international or private school in malaysia where do they usually ended up eh,neutral
malaysia kekal berprinsip,positive
menggunakan visa spouse tu kawen lelaki bujang ke duda aku harap bukan suami orglah aku sensitif sungguh bab ppuan foreigner kawen suami org malaysia ni,negative
sebab ramai tnya nama mnc kat malaysia meh aku share a few yang aku tau and some of the benefits start dengan huruf a,neutral
tempat kat malaysia ni offer benda percuma tapi ramai tak tahu perpustakaan negara kl ada bilik tidur netflix lounge tempat kerja belajar wifi laju semua percuma klinik kesihatan kkm ujian darah kolesterol tekanan darah kaunseling kesihatan under rm atau percuma ktm komuter student pass bawah tahun boleh mohon student rail pass potongan hingga,neutral
hope one day sgd myr,positive
padu laa sapa yang buat apps ni,negative
kalau ni ade kat malaysia memang musibat tanah sape yg amalkn umur dah mengandung pale bana diaa,negative
kepada orang kaya malaysia anda pernah didatangi geng ni tak maybe dgn alasan utk capai sesuatu nak tau gak,negative
