text,sentiment
korang kalau kecam aku bukan main kan celaka no aku nak korang kecam zoo jepun ni depaa seksa gajah kitaa,negative
we couldnt find a place to stay for a night in terengganu because most of the hotels were fully booked and homestay owners preferred muslims however this homestay owner accepted us for a night umi and her husband even invited us over for breakfast before we head back home it was a simple gesture but it meant so much,positive
dear malaysian women does anyone want a lavender marriage with me you can keep the tax breaks as i m unemployed on a study break for ten years hit me up for shizzle i m financially independent an expert housekeeper and handy with tools,positive
korang tahu tak negara maju banyak yang dah tolak data centre baru dekat negara diorang itulah fungsi negara ketiga macam malaysia ni,negative
we dont want murderer in malaysia free palestine,negative
it finally rained,negative
this is the story of jobtepi malaysians that started jobtepi platform freelance malaysia yang sedang grow dengan super fast kita sekarang berada di chart no in app store in less than a month beating sharks like meta ads fiverr and more,negative
hahhaha why is it so expensive do we get to perform together with sos what is ticket fee and what is service fee i remember i don t pay this much for daniel caesar though,negative
admin zoo negara dah sahkan,negative
kuala lumpur whats going on the emo trinity,positive
muslim business owners dekat malaysia lets connect,positive
macam mana korang dapat kerja under negara lain tapi still duduk dalam malaysia everything discuss online usually kerja bidang apa or company mana mnc ke yang buat macam ni i teringin tapi penat dah apply tak ada yang sangkut,neutral
weh kau tahu tak malaysia baru buat benda yang satu asean pun terkejut,negative
ramai cakap kenapa nak panic malaysia bukan kena bom pun guys can you think outside the box its not just about war global crisis affects economy food supply oil prices everything not to scare you but awareness and preparation matter,negative
did u guys know yang batch ni sebenarnya batch paling special dalam sejarah malaysia sebab diorang je satu satunya batch tak pernah hadap exam besar as upsr pt pmr,positive
ape sial sangat eh semua petugas kt klia ngn airasia sampai mak aku nangis call aku sebab kena maki hamun dengan petugas kt sana sebelum naik flight dorng cakap bodoh anjing miskin kau ni rohingya en asal kau dtg malaysia ape salah mak aku sebab dia pakai passport bangla je layak ke kena hina eh kitorng pakai passport bangla pun visa kitorng mmh salah satu income negara malaysia ni dari duit visa kitorng nasib baik la mak aku lupa videokan muka korng kalau tak mmg aku cari semua,negative
bagus abang ni vo terasa seperti bercakap dengan kita suara dia pun sedap didengar pulak tu,neutral
yesterday i posted a thread about south east asian countries and apparently lots of people dislike malaysia,negative
maafkan saya malaysia saya seorang rakyat amerika yang bodoh dari taiwan saya tidak tahu bagaimana untuk menyebut bahasa awak yang indah itu,negative
tukang sebar fake news isu kononnya malaysia jual diesel ke filipina dah kena kutip oleh mcmc,negative
meh la share bisnes korang kita support each other,neutral
kesalahan grammar rakyat malaysia online bukan bitter saja suka suki tau kitonyo teacher,negative
sos everyone s a star artist presale was not for the weak the chaos just to buy the ticket thank you,negative
eventhough i am chinese but to be honest i really kecewa dengan bangsa cina yang can t speak malay lepas tu nak bagi alasan it s okay i can speak english or mandarin that s enough jangan cari alasan lah you are living in malaysia maybe you should relearn malay language in primary school,neutral
malaysia witnessed its political tsunami in now tamil nadu is experiencing its own wave of change grateful to see that in both moments my favourite party is on the winning side,positive
alhamdulillah im back in malaysia,negative
most toxic workplaces in malaysia perceived medical healthcare public sector corporate banking finance big corporate glcs smes family run companies sales based companies,negative
too stunned to speak tapi redhaa,negative
hi guys harini nak share sambungan list of mnc dekat malaysia aku malas ikut urutan so below are company yang aku tau and some of their benefits,negative
penat tengok bella astillah nyanyi,positive
gay lgbt tiada tempat di malaysia eh silap di dunia,negative
looking for freelance writers,positive
maju betol malaysia skrg boleh kalahkan thailand,negative
hasil main mega selama bulan saving duit lain kat bank lain,negative
i dont know but seems nara peoples quite right coz i know anna san content creator base at malaysia she quite calm,neutral
morning yeahh sy dah register hm malaysia marathon,positive
usop wilcha pernah berkata itulah pentingnya english education,positive
lebih tahun tun m bina malaysia mai dia tak sampai tahun punah ranah jadinya,negative
lantak korang la nak gaduh malaysia dengan korea aku mala nak masuk campur,negative
hi sos fam battling for general sale today but i still have x standing tickets to let go letting go at original price ts fee dm,neutral
ranking international iq test,positive
aku nak tanya ni memang ada ke manusia di malaysia ni yang pernah dapat beli handphone rm dekat temu tu,negative
looking for extra verknipt ga tickets please hmu i need a few,neutral
thank you yasmin for your order,positive
honestly sephora malaysia really needs to step up when it comes to hiring sas makeup is such a passion driven industry customers masuk kedai feeling excited curious and ada yang baru nak kenal make up the least you can do is match that energy with good vibes and basic social skills why is it that every time i walk in i yang end up chasing the staff instead my experience at ioi city mall today was justoff,negative
if i get two tickets tomorrow for sos kan ada tak nak beli my ticket that i bought today i have one ticket janji jual original price,neutral
kalau victim tu perempuan mulalah semua orang nak victim blaming dari dulu sampai sekarang instead of questioning the victims clothes keberadaan etc question lah si penjenayah tu,negative
hi i am currently seeking an internship placement,neutral
what sucks as a sarawakian who loves attending concerts is that we dont just think about concert tix price we gotta think about flights and hotels and other expenses too,negative
grand opening for new store adidas original,positive
since i secured my tickets im planning to do freebies hehe if theres anyone doing freebies too maybe we can exchange,negative
sedihnya tak dapat vip ticket today and todays my birthday im cryinggf i wanna see luke ash cal mikeyy depan depan ahmagad ada hope lagi ke esok,negative
langkawi malaysia lets the coast do all the talking for you,positive
sos malaysia fans dont u think we need to report for the extra booking fee its ridiculous and scammers,negative
malaisie tu malaysia lah benak buat malu negara je,negative
after seeing how tourists act during songkran in thailand id rather malaysia stay unpopular underrated and boring,negative
for recruiters in malaysia if youre not planning to hire someone kindly reject them tak kisahlah kau reject through email ke whatsapp or even job apps just reject them if theyre not selected,negative
check out this old terrace house transformation in kuala lumpur malaysiathe industrial interior design mixed with natural elements brings a fresh calming atmosphere,positive
nampaknya malaysian suka cerita malaysia,positive
malaysia ni takde lah perfect tapi everytime aku travel negara sebelah malas nak sebut negara apa aku rasa malaysia ni quite systematic teratur and tahap kebersihan tu okay,neutral
to some of those yg dapat tickets i hope you know more than slsp amnesia and youngblood like yeah we get it theyre not underground and they are famous widely because of these songs but if you ask these same ppl about everyones a star sos or calm or even their solo stuffs complete silence its just unfair how the real sosfam did not get any tickets because of these people and those scalpers obviously,negative
haritu aku ada ternampak ni ada sesapa tahu ke apa masalah kaki kita jadi mcmni,negative
rohingya membawa kawan mat salleh hadir jemputan perkahwinan arakan rohingya dengan memakai pakaian tradisional melayu di malaysia,positive
do you think this should be tolerated,negative
threadians can you connect me with videographers who can do min reels based in kl malaysia,positive
normalise this before travelling overseas,neutral
one of the reason we need the strokes in malaysia absolute ball of steel educating us people in the us soil,positive
dara amoi kelat,neutral
guyss boleh spill dak medical device company consultant kt malaysia yg ada good benefitss package tk kisah laa mnc or local,neutral
orang yang pernah or date japanese why do they reply lambat ek talking stage haritu replies really late padahal dia yang buat planning and my friend replies hours late to dia punya talking stage and the guy also replies hours late kita ni tak nak tekan tekan orang,negative
in need of ticketing service for sos general sale tomorrow penat la nak battle to secure tix,negative
malaysia army when bts come to malaysia please i mean please please behave and jangan buat apa yg crossing line it has been year since they last come back we have to behave and be respectful and mature so they would still plan to come back again the next world tour therefore there will be no excuses for the politics to talk about banning concert or even talk shit about the boys so please behave ya,positive
a new chapter begins singapore malaysia jb cross border grabcab,positive
hii siapa need help for ticketing todayy,neutral
dear algorithm please show me more of women in malaysia especially in selangor people who like hobby classes travelling sports culture arts levelling up in their careers public speaking gallery and cafe hopping and building businesses,positive
sijil profesional antarabangsa paling laku di malaysia,positive
charging rm for service fee is crazy this is the most absurd concert service fee ive ever seen almost feel like being scammed,negative
siapa setuju kita bina malaysia baharu tanpa dap,negative
malaysia marathon public registration open at am lihm open at am which one are you joining malaysia marathon had rmk cash if you broke record ligm staycation with friends and family,negative
whats the point of imitating giving the hair like illusion while wearing hijab please jangan bawak trend bodoh macamni masuk malaysia,negative
indonesian duduk malaysia seronok claim diri as sabahan hati hati guys lagi lagi yang ada suami kerja tentera atau polis,negative
malaysia kebanykkan kita dengar lelaki curang tapi kalau dekat indonesia jangan main giler weh perempuan mengandung pun boleh pergi check in dengan lelaki lain pastu mati kena bun h ada viral baru ni suami handsome mcm k pop anak pun boleh curang dgn muka jawa perempuan sana nafsu serakah lain mcm bersyukurlah duduk malaysia yaa,negative
trump dtg malaysia imam masjid sila kuatkan speaker tiap kali masuk waktu solat trump kan tak suka dgr azan so inilah masanya kita bagi syaitan terbakar,negative
dear one ok rock team we want oor movie in cinema kat malaysia jugak ktorg nak sambung pcd kat movie plak please oor team make it available in malaysia too,neutral
hello my sos fans,positive
the prince never runs he always completes his missions putra abdullahh jtt family byon byoncombatshowbiz malaysia indonesia,positive
orang baik utk orang baik memang betul because good people naturally attract each other when your heart is sincere kind n genuine you will meet someone with the same energy it may take time n sometimes life tests your patience but everything happens for a reason dont lose hope or change who you are the right person will come at the right moment appreciating you for who you truly are just trust the journey,positive
kau memang lelaki paling bangsat bodo kata pergi oustation rupanya curang check in dengan betina hotel siap pernah bagi pregnant gugurkan baby tu memang aku viralkan kau malaysia biar tak ada betina mana yang kenal dengan kau seharian aku down waktu malam baru ada kekuatan nak tahu siapa perempuan kau bagi pregnant tu puas aku letak watermark besar sebab nanti ada geng penunggang buat ni macam kisah dia lapar like,negative
hi ada tak nk join my ticketing service i charge rm per tix available only general vvip standing dm me now,neutral
guys im battling for standing zone today kalau dapat im selling my x cat section row b i paid for rm selling at original price,negative
should i purchase a new ticket and sell the current one since its not the cat i want but is there anyone want to buy it if i sell it later,neutral
asallamualaikum tak jwb dosa,negative
so they have already confirmed there wont be any day keep battling untuk besok guys dont lose your hope yet,neutral
happy readings malaysia cool libraries,positive
orait tak orait geng sumpah paling smooth battle tix am start am payment completed hehe,negative
mcm ni la kerja saya hari kalau stop je dia bising,negative
im legit crashing out right now wtf do you mean by no vip standing dah i nak vip standing,negative
first time seeing malaysia airlines cabin crew being rude or rather sarcastic,neutral
for a someone that travelled around countries with a malaysian passport i think spain is the easiest country to go through immigration just scan the passport when entering and leaving spain no immigration officer no questions nor restrictions infact nak masuk mexico lebih complicated,negative
why the booking fees are expensive rm extra fees per ticket is crazy wei nvr have i ever purchase concert tix with dis expensive fees like,negative
hi i nak let go dua tiket standing general admission rm rm each service charge by ticketmelon boleh dm ya,negative
salam battle sos,positive
dia faham ke tak maksud subsidi untuk warganegara malaysia sahaja spouse visa ke sijil nikah je tak laku okay rakyat pun struggle banyak cantik nak sama rata rakyat malaysia ada ic tapi takde lesen pun tak dapat rm tuu,negative
habisla pak arab ni bila jabatan netizen mesia buat keje sampai ke lubang cacing dikorek geng netizen jangan main ngan jabatan netizen malaysia ni siap pakat report kat website medical device authority mda siap check company pak arab tu takde license mda dan penyalahgunaan logo mda boleh kena kompaun up to rmk mendapatla jawabnya isusemasa rakyatmalaysia,negative
ni kenapa yaa,negative
top companies dengan gaji fresh grad tertinggi di malaysia tahun,positive
its getting reall gonna see ma boiss soon,positive
hi warga threads,neutral
clensing my own timeline by posting photos from sandakan sabah malaysia,negative
malaysias banks just posted their cleanest q in years thats probably the problem,negative
massive traffic all around puchong due to one break down lorry at ldp near tractor malaysia it s like a gridlock everywhere when is,negative
im leaving malaysia finally thank you god,positive
racism in malaysia is very real,positive
why is jb price so high the portion is small but the price is like orang jb semua guna singapore dollar ke,negative
golive really tested my patience yesterday i feel like todays boutto be worse for the ones without tickets esp sending luck to everybody n pls dont get scammed online esp here on threads if ur re buying it from someone else,positive
hi salam nak jual model nintendo switch version oled jailbreak storage gb colour white jailbreak yes condition rarely use set malaysia warranty none price rm best price,neutral
we said goodbye to malaysia but we werent ready,neutral
sqft tiny house located in malaysia defined by its bold a frame and metaldeck cladding this scandinavian tiny house blends warmth light and simplicity,positive
hi ada tak nk join my ticketing service i charge rm per tix available only general vvip standing dm me now for tomorrow presale,neutral
were hiring a content creator,positive
hii i tengah cari fresh flower bouquet mini preferably between rm rm kl area hmu please,neutral
what do you mean sos did outer space during the recent soundcheck because i need that for the show in malaysia please i m begging,negative
wtb daniel caesar son of spergy tour in malaysia need x th may tickets,positive
comel je cara dia tengok ayah dia sambil dodoi dia,negative
hold up im still puzzled how r uguys can secure more than tix less than mins damnn,neutral
morning peeps suggest lagu local indie malaysia please nak get inspired jap,negative
is anyone still on the website i cant get tickets help a girlie out,negative
lima is set to redefine the future,positive
who wants to learn german in malaysia,positive
looking for someone who is a kpop fan in kuala lumpur malaysia speak a bit of korean and passionate in being an emcee,positive
the time has come malaysia are on top of the world,positive
since this is my first ever concert i have soo many questions but hoping all my questions will be answered once the concert day is nearingg,positive
hii party people p anyone here managed to secure cat section im going solo and would love to make some friends before the concert feel free to hit me up,negative
senior quantity surveyor exec signing off till then starbucks malaysia,negative
sneako an online content creator known for his livestreams and commentary style content has identified malaysia as his preferred destination during his southeast asia tour speaking in a recent livestream he said he felt a stronger connection to malaysia compared to other countries he visited,positive
were hosting a language meetup in mont kiara for those who pre register the participation fee will be offrm instead of rm before the meetup well also go to a japanese festival together all the food there is free its happening on saturday may anyone interested,negative
malaysia is not an islamic country it is a multi religious and multi racial country ya agree that maybe is muslim in malaysia but reminding this again as non muslim have played a vital role together to develop our country rain rave festival is for non muslims to enjoy if you believe this is haram in your religion please dont attend nobody is forcing you to join ive also seen malay muslims attending the festival please think wisely instead of just blindly throwing words,negative
general sale at pm,positive
letting go of my mcr ticket on nov zone c section rm negotiable kalau interested boleh dm thank youu,negative
this man rafiziramli has sacrificed so much for this nation have fought so hard against corruption for decades today he is being persecuted for fighting for malaysia he needs all our prayers i firmly believe in his innocence his valiant fight has no parallel a true patriot,positive
please follow me ya guys i regularly update the latest job vacancies in malaysia,neutral
kelat started to show zoochosis sign and kelat is now mentally distressed is this what our perhilitan and nres said conservation and enrichment effort,negative
i need tips for the day itselff concert goers for general standing u guys selalu arrive what time to get barricade,positive
looking to buy tickets for cat pm me if you re selling,negative
the most beautiful places in malaysia,positive
girl if i were fa i only need one day to move on after u burukkan about me openly in front of the whole of malaysia u think thered still be any love left even if there was it would disappear the moment you did that and fa has been patient if it were me id have exposed everything alreadytheres no way someone takde aib langsung utk tahun bersama i harap ini yg terakhir i layan manusia yg tk move on ye,negative
not everyone deserves a second chance u can give someone space n opportunity but still end up getting hurt again unless they truly change for the better most person arent ready to appreciate the chances they are given n they take it lightly only when the opportunity is gone do they start to regret it whether in berkawan or hubungan not everyone knows how to value what they have until its too late n everything is already lost,negative
hope u really enjoy in malaysia food culture,positive
do you think manchester united can win against nottingham and brighton in the last two matches i do not think so,neutral
presale sold out,negative
weh senang gilaa nak battle tix sos ni wtf in freaking mins je andd all donee hell yeahh lesgourr,negative
team vip standing congrats semua jumpa nanti im going alone but tape kita ramai lets be happy and enjoy together,positive
geram lah aku audience cuba duduk diam all the phones during the performance too when they already said to put down your phonesdatang malaysia je lah tis jwanji kitorg kumpul fon sebelum concert pon boleh,negative
vip standing secured in under minutes i was shaking so much i bawled my eyes out,negative
hi i nak buat ticketing service for presale sos in kl today only rm per ticket dm me if interested skrg tgh queue,neutral
hi doing ticketing service again this time for sos in kl am queuing for standing pm me kalau mahu sekalii,negative
i love drawing but sadly i need to put it aside getting money from doing art commission is actually really hard and i need think of ahead so i decide to find a stable job instead nak aku duduk malaysia ni mmg idok la,negative
korangg cubaa teka kami bergossip pasal artis yang mana satu kalau betul i belanja lunch mangku tingkat,negative
alert perhatian semua,positive
last call i managed to get tickets yesterday,negative
do you guys know we can actually claim tax relief for being artsy this year,negative
posts for malaysia from siti nur chorong jelebu ouu apink is so coming back here,negative
i will never forgive what conservative malays did to neurodivergent people queer people and other races,negative
san choi wreck perhentian island,negative
secured all x tickets for our customers today thank you for trusting us,positive
im not happy at all but i know i should be right cuz i can see them and listen to them live no matter which package i got but man im so disappointed sad depressed and anxious i got the vip seating but at what cost,negative
im going to battle for tmrw general sale all of u pls make way for me i want cat standing im begging ive been reloading the website since the presale starts until it sold out and i still dont get it crying throwing up rn bye,negative
pleasee lahh i just need tickets,negative
any sarawakian yg pergi konsert sos sorang especially from kuching we can plan go concert together,positive
salam siapa cat sect specifically row c kawan with me please im going alone bc target nak cat w my friend tapi cam biasa la seat yang best always go to scalpers and larpers in the end only got tix please juseyo jebal somebody reply im a yo teen,neutral
wtb cat standing x pleasee,positive
this is malaysia,positive
were hiring data entry remote,neutral
i am so flabbergasted at the mof s suggestion of budget cuts to the health and education sector,negative
famous national animals,positive
busy busy busy tgh class,neutral
kuala lumpur out and about exploring the city malaysia kualalumpur explore travel,positive
bahasa malaysia is the national language of malaysia,positive
gonna joined the flex hehehhe secured the ticket while in the office within half an hour alhamdulilahh remembered that one time i used amnesia as my ringtone when i was and finally can meet them irl that s crazyy,negative
hello malaysia the loved one will be showing in cinemas there tomorrow hope youll like it sending,positive
i know many of you are excited that they are coming to perform but im not sure how many of you are aware that the band especially m shadows is pro israel,neutral
malaysians these days are so sensitive and annoying you know when there are concerts in malaysialike thai korean or othersthere are always so many netizens criticizing them the reason is because malaysia has muslims and they say concerts arent suitable here because theres a lot of maksiat sinful behavior what the heck bro im telling you in this world right now maksiat exists everywhere actually you shouldnt judge people based on religion,negative
done register malaysia marathon anyone lagi,negative
just me or website is crashing,negative
petition to ban identity politics following singapore example in malaysia so no more race based religion based organisations can be a political party or compete in elections that includes mca umno mic dbna rks pas etc,negative
this is the true picture of malaysia today most of the time everyone lives harmoniously and we help each other in our daily lives still we have a group of religious extremists who think they are the kings of the land and that all non muslims who demand their rights here are wrong or unacceptable so every country has its toxic groups americans have maga fans and we have extremists,positive
thinking of starting a coffee farm in malaysia,positive
hiring accountant manager in puchong,positive
wts tix sos dm me if interested,neutral
wdym im willing to spend so much money and still couldnt get my desired ticket why the system like that weh can limit tickets per person and not each,negative
question for standing ticket the seat number is our queue number ke or queue number kita tak dapat lagi,negative
anyone wts verknipt ticket,negative
please siapa ada extra general standing ticket for sos please hmu i need only tix,neutral
i just want to let you guys know that we have a lot of cancer screening in malaysia available in klinik kesihatan targetted for certain population free of charge some of it include screening for cervical cancer pap smear colorectal cancer stool ifobt breast cancer mammogram if only general population understand how important these screenings are educate you friends,positive
mcr simple plan and evanescence all in the same week gila laa sakit pinggang oii kalau semua ni kana hadir and my wallet will be crying too,negative
hi ada tak nk join my ticketing service i charge rm per tix available only general standing vvip standing cat cat only left slots,neutral
hello anyone ada extra standing tiket pleasee serious buyerr,negative
secured cat for sos yeayy had lots of empty seats,neutral
this is so concerning belum sale dah crash website golive,negative
anyone from malaysia need anything from jakarta im going next week,negative
am in pahang malaysia at the invitation of his royal highness al sultan abdullah riayatuddin al mustafa billah shah and her royal highness the tengku ampuan of pahang tunku azizah aminah maimunah iskandariah i will also be travelling to terengganu,positive
so thankful for my friend im going to meet sos nak nangiss secured general standing hehehehe,positive
hii i will be doing ticketing service for sos in kl,positive
anyone ada nak tak sos can dm me put or own details ya i have presales code,negative
looking for a reliable malaysia property agent who is strong in putra heights subang jaya landed homes,positive
hi im rinah a self taught artist from selangor malaysia i love painting dreamy landscapes theyve been my biggest inspiration lately where are you from,positive
weh finally my ts can secured my ticket at first baca tu almost nak nangis ye anyone with vip standing hope we can meet there soon,neutral
good morning guys just sharing incase anyones wondering good luck todayy,positive
open ticketing service sos in malaysia use ur personal data and self payment fee after secured,positive
di sosmed netizen indonesia heboh menggelar malaysia sebagai malaydesh tapi hakikat nya ayoh lihat sendiri indodesh atau malaydesh,negative
calling all melaka based kols,positive
ini kali lah what we can buy if broke malaysia half and marathon record at malaysia marathon price variants malaysiamarathon,positive
promoting linen for malaysia weather tapi kena pakai inner isnt it defeating the purpose,positive
we go againn sebulan sebelum klscm i nak buat as long run,negative
stop the bullshit,negative
manage to secure x tickets for today s presale all buyers will be contacted shortly,positive
wts sos ticket cat sec seat only,neutral
arghh see you peeps,negative
hi anyone got extra tix for gen standing x serious buyer here,positive
had a meaningful experience exploring the university of cambridge while representing bank negara malaysia,positive
does anybody in the kl tcg community know of this guy i need to find his ig or contact at least cause hes the best to deal with always kind always fair always accommodating love dealing with him,positive
october michael jackson waves to a crowd of fans from the balcony of his presidential suite at the concorde hotel during the malaysian leg of his history world tour,positive
people complain tiongs leadership about events like this,positive
s sivasangari continues to make malaysia proud after producing a stunning upset over top seed and world no amina orfi to storm into the grasshopper cup final in zurich switzerland,positive
wishing all the best to everyone who is getting their tix tomorrow for sosinkl but not to the scalpers,positive
hey content creators based in malaysia i m looking for creators in the perfume fashion and lifestyle niche to collaborate with,positive
just got my sos tix guys vip standing,positive
anyone still wants vip seating tix go dm her,negative
malaysias elephants dara amoi and kelat were sent to tennoji zoo in march,negative
still cant believe what happened today ahh y o me would be so happy,neutral
anyone wanna sell me their sos general standing tix if not the vip standing help a girl outt,negative
help tot me and my bf first time buying tickets and we ended up pick different seats cos of limit is it possible for us to sit together,positive
medical students of new castle university malaysia numed in limbo as uk government block uk degrees from malaysia,negative
this is genius mini telephoto kit setup anyone would you get the vivo x fe just for this i know i would,positive
enthralled by whats happening in malaysia right now the ns drama is malaysian politics so much more exciting than sg politics,positive
whoever buys and resell ni i ll cry bc why t t some of us didnt stand a chance at all atp,negative
hey guyss just wanna warn yall about this person agreed to trade tickets which was my fault i admit but end up kena ghosted scammed and blocked she also ended up listing my ticket and yes ive learned my lesson just a psa to those who wanna buy from her stay safe guys,negative
subsidi bensin tu untuk warganegara awak tu indonesian kenapa buat video nangis kena ada ic bukan visa kerja bukan visa spouse please jangan mengeluh tentang pemerintahan malaysia saya tahu sisi gelap kedua negara kalau nak cerita tentang pemerintahan indonesia hmm gapapa la nanti aja cuma tu lah ayat dia sesuatu yang mudah jangan lah dibuat sulit,negative
just made in malaysia,positive
to the owner of this car you are an idiot who almost caused an accident dashcam cameras are everywhere watch out,negative
serious question berapa actually gaji tiktok live host,negative
hi my name is kai hung i m an independent bag designer based in penang malaysia and this is my signature bag design the blooming flower bag,positive
jan loan interest rate affin bank alliance bank ambank bank islam bank of china bank rakyat bsn cimb bank hong leong bank hsbc mbsb bank maybank ocbc bank public bank rhb bank standard chartered uob bank al rajhi bank aia,negative
im not against partying i rave too but this rainrave feels a bit turn off for malaysia especially under tourism it looks more like songkran than showcasing what actually represents malaysia we have our own identity bro culture balance and a more grounded vibe haihh honestly a bit malu wtf man rave parties are about music energy nothing wrong with that but context matters what works in one place doesnt always fit another,neutral
letting go section x tickets rfs managed to grab vip dm if int,neutral
year old me must be proud,positive
i did not in fact get any tickets lmaoo i was aiming for standing but couldnt get any seating ada jee tapi tu la,negative
congrats tuan always make sure kita make our own decisions hehe by the way saya hazmi mr moomoo malaysia if nak belajar tips and tricks boleh je melawat thread saya,positive
hi everyone heres my klif catalogue,positive
my second time seeing saosin in malaysia still not over it the crowd was older but the energy wasn t the moment the music started everyone knew every word very chorus a room full of people who have been holding onto these songs for years and everyone still knew every word,negative
morning vibes penang hill,positive
anyone wants standing cat x in cart,negative
setiap sholat eid di malaysia terus ngeliat cwe cwe malay langsungg nyess bgt cantik ii bgtt cantik nya yg bnran cantik idung mancung rahang tegas pipi nya tirus tirus terus makeup sama tone kulit nya juga nyatu njayy ngga yg abu abu pokonya cantik nya cwe malay sm cwe indo beda bgt haha tapi same ii cantik,negative
those who manage to get general standing during presale u guys pakai magic apa,positive
